-1.30643 -2.31318 14.6985
2.44024 -2.17781 97.939
3.70358 2.82349 56.7164
-4.30871 -0.880402 116.822
2.81983 2.26666 107.411
-4.14023 -3.92437 137.514
1.2746 3.1313 13.4909
4.59811 -4.10301 4.86575
4.20607 2.48844 99.4503
1.98013 -0.522263 51.5118
4.15876 1.21485 11.6332
-0.644686 -0.804348 74.918
0.274088 4.89777 58.3692
3.62098 4.07395 27.4633
3.27485 1.08019 106.662
-3.87014 1.527 57.2568
2.49105 -0.959734 124.151
2.41976 -0.0325358 136.363
-2.01074 -4.44354 132.687
2.68715 -4.51347 97.3223
