4.99466 0.613418 77.085
2.10711 2.88827 110.317
-1.95715 3.25502 140.542
-1.94121 -4.08485 79.7679
-4.02236 1.25192 66.7599
-4.28447 -1.99115 71.5321
1.05725 -2.24729 130.955
2.37129 2.19742 120.606
-3.85382 -1.99251 94.0708
-0.336508 3.43047 103.479
-1.9458 -4.23976 111.835
-2.03141 -2.92872 113.176
4.17931 -0.960721 31.3641
-4.95221 -4.12081 122.067
-2.17615 -2.05695 143.303
-0.687421 -2.73605 68.4451
1.19067 4.49868 4.89619
2.52783 0.246383 4.54976
2.63552 1.86386 21.2971
2.48292 -0.674709 59.0489
3.84097 3.77294 124.679
-3.86263 2.10706 11.8231
-0.769785 0.193774 68.7661
0.436033 -4.77687 145.835
-1.92255 0.616886 84.7543
-3.5117 -4.21828 89.4695
2.6085 -1.32525 48.8829
-3.46807 -1.14257 86.8399
0.367015 0.353137 133.841
-3.86539 -0.384099 61.934
-1.00124 -1.60261 108.675
-0.0577326 1.1989 42.3165
-4.70718 4.09046 102.347
1.03052 4.24414 11.3981
0.990543 2.77406 45.4622
-0.746319 -4.93972 103.54
2.92817 1.64426 114.885
0.908808 -4.03537 106.366
0.716502 -4.24845 138.388
3.49368 3.94051 33.0492
